Organisation,Type,Focus,Area of Operation,TtoR,Variety,Regularity,EQ,RJ,CU,CJ,SO,SJ,CE,SC
Black Inclusion Week,Project,Justice,International,1,A,A1,,Y,,Y,,,,
myGwork,,Education,International,1,A,A4,Y,,,,,Y,,
Organising to Win,Community,Justice,International,1,A,A4,,Y,,,,,,
RSA,Charity,Education,International,1,2,A4,Y,Y,Y,Y,Y,Y,Y,Y
Black Equity Organisation,Charity,Justice,National,1,A,A5    ,,Y,,,,,,
Black History Month,Project,Education,National,1,A,A1,,Y,Y,Y,,,,
Equality Leaders,Commercial Co,Education,National,1,A,A4,Y,Y,,,,,,
Great Big Green Week,Charity,Ecology,National,1,A,A1,,,,,,Y,,
Race Equality Matters,Social Enterprise,Justice,National,1,A,A1,,Y,,,,,,
Windrush 100 Network,Charity,Education,National,1,A,A1,,Y,,Y,,,,
Hare Krishna Group,Community,Faith Based,Local,2,B,A3,,,,,Y,,,
Reset,Social Enterprise,Education,Local,2,A,A4,Y,,,,,Y,,
U3A Eco Group,Charity,Ecology,Local,2,A,A2,,,,,,Y,,
Weston Friends of Palestine,Community,Justice,Local,2,B,A5,Y,Y,,,,,,
Garden Organic,Charity,Ecology,National,2,A,A6,,,,,,Y,Y,
Islamophobia Awareness Month,Social Enterprise,Education,National,2,A,A1,,Y,,Y,,Y,,
Pan African Workers Association,,Justice,National,2,A,A4,,Y,,Y,,Y,,
The IRU,Charity,Justice,National,2,A,A4,,Y,,Y,,Y,,
UWE,Company,Academic,National,2,A,A6,,,,,,Y,,
With You,Social Enterprise,Health,National,2,A,A3,,,,,,Y,,
JHF,Charity,Education,North Somerset,2,B,A4,Y,,,,,,,
The Hive,Company,Employment,North Somerset,2,A,A6,,,,,,Y,,
Bristol Refugee Festival,Social Enterprise,Community,Regional,2,A,A1,Y,,Y,,,,,
Caafi,Social Enterprise,Health,Regional,2,A,A6,Y,,,,,Y,Y,
Community Rail Partnership,Project,Creative Arts,Regional,2,A,A6,,,,,Y,,,
Curo,Charity,Community,Regional,2,B,A3,,,,,Y,,,
UHBW (Weston Hospital),NHS,Statutory,Regional,2,A,A4,Y,Y,,,,Y,,
Weston College,,Academic,Regional,2,B,A4,Y,Y,Y,,,Y,,
Actionworks,Social Enterprise,Creative Arts,International,3,B,A4,Y,,Y,,,,,
Afghan Mens Group,Community,Community,Local,3,A,A3,,,,,Y,,,
FAHLC,,Health,Local,3,B,A4,Y,,Y,,,Y,Y,
Hindu Cultural Community,Community,Faith Based,Local,3,B,A4,,,,,Y,,,
Renew,Social Enterprise,Employment,Local,3,B,A3,,,,,,Y,,
Ella Baker,Project,Justice,National,3,B,A4,Y,,,,,Y,,
MEND,,Justice,National,3,A,A4,,Y,,Y,,Y,,
MIND,Charity,Health,National,3,B,A3,,,,,,Y,,
North Somerset Council,Statutory,Statutory,North Somerset,3,B,A4,Y,Y,Y,,,Y,Y,
RWNS,Charity,Community,North Somerset,3,B,A4,Y,Y,,,Y,,,
Super Culture,Social Enterprise,Creative Arts,North Somerset,3,B,A4,,,Y,,,,,
Voluntary Action North Somerset,Charity,Community,North Somerset,3,B,A4,Y,,,,Y,Y,Y,
,Social Enterprise,Creative Arts,Regional,3,B,A4,Y,,Y,Y,,,,
Diverse Artists Network,NHS,Health,Regional,3,B,A5,Y,,,,,Y,Y,
Sirona,Social Enterprise,Health,Regional ,3,B,A4,,,,,,Y,,
Federation of Young Indians,Community,Community,Local,4,C,A5,Y,Y,Y,,Y,,,
Sustainable Living Group,Community,Ecology,Local,4,A,A5,,,,,,Y,,
Weston Association of Malayalees,Community,Community,Local,4,B,A4,,,,,Y,,,
Coastal Communities Creative Health,Project,Academic,National,4,B,A6,Y,,,,,Y,Y,
University of Bristol,Royal Charter,Academic,National,4,3,A6,Y,,Y,,,Y,,Y
Black South West Network,Charity,Justice,Regional,4,C,A5,,Y,,Y,,Y,Y,Y
Ago Ame,Community,Community,Local,5,C,A5,Y,Y,Y,Y,Y,Y,,
Equalities Alliance,Community,Justice,Local,5,C,A5,Y,Y,Y,Y,Y,Y,,Y
Lowering the Bar,Social Enterprise,Education,Local,5,B,A3,,,,,,Y,,
Bridging the Gap Together!,Social Enterprise,Community,North Somerset,5,C,A5,Y,,,,Y,Y,,
LGBT+ Forum,Charity,Community,North Somerset,5,C,A4,,,,,Y,,,
North Somerset Bangladeshi Association,Community,Community,North Somerset,5,C,A5,,,,,Y,,,
North Somerset Training,Social Enterprise,Education,North Somerset,5,C,A5,Y,,Y,,Y,,Y,
Soroptimist,,Community,International,3,B,A4,Y,,,Y,,Y,Y,
United Nations,,Justice,International,1,A,A4,,Y,,Y,,Y,,
Broadoak Secondary School,,Education,Local,2,A,A4,Y,,Y,,,,Y,
Cleaner Coastlines & Plastic Free Weston,,Ecology,Local,3,B,A5,,,,,,Y,Y,
HMD NS,,Education,North Somerset,3,A,A1,,Y,,Y,,,,
Somerset Storyfest,,Creative Arts,Regional,2,A,A4,,,Y,,,,,
Somewhere to Go,,Community,Local,2,A,A4,,,,,,Y,,
Weston Chamber of Commerce,,Community,Local,2,A,A4,,,,,Y,,,
Weston Housing Action,,Justice,Local,4,A,A5,Y,,,,,Y,,
Weston Islamic Education Centre,,Faith Based,Local,3,B,A4,,,,Y,,Y,,
Weston Town Council,Statutory,Statutory,Local,3,B,A4,Y,,Y,,Y,,Y,
Betterway,,Justice,National,3,A,A4,Y,,,,,Y,,Y
BFI Cinema For All,,Creative Arts,National,1,A,A4,,,Y,,Y,,,
Camerados,,Community,National,2,A,A4,,,,,Y,,,
Citizens Advice,,Justice,National,4,B,A5,Y,,,,,Y,,
Health Creation Alliance,,Health,National,3,A,A4,Y,,,,,Y,,Y
Ubele,,Justice,National,3,B,A6,,Y,,Y,,Y,,Y
Grace Period Project,,Health,North Somerset,2,A,A2,Y,,,,,Y,,
Next Link,,Health,North Somerset,2,A,A4,,,,,,Y,,
Rosebud,,Education,North Somerset,2,A,A4,,,,,,Y,,
Avon & Somerset Police,,Statutory,Regional,3,B,A4,,,,,,Y,,
Chinese Community Wellbeing Society,,Community,Regional,3,A,A4,,,Y,,Y,,,
Citizens for Culture,,Creative Arts,Regional,3,A,A4,Y,,Y,,,,Y,
Copwatch,,Justice,Regional,3,A,A4,,,,,,Y,,
Front Room,Social Enterprise,Creative Arts,Regional,4,B,A5,Y,,Y,Y,,,,
Off the Record,,Health,Regional,3,B,A4,Y,,,,,Y,,
Police IAG,,Justice,Regional,2,A,A2,,,,,,Y,,
SARI,,Justice,Regional,2,A,A4,,Y,,,,Y,,
Impact Alliance,,Health,Regional ,3,A,A4,,,,,Y,Y,,Y
Cartoon Club,,Creative Arts,Local,2,A,A3,,,Y,,Y,,,
Fire Brigade,,Statutory,Local,3,A,A4,,,,,,Y,,
Mens Shed,,Health,Local,3,A,A4,,,,,Y,,,
Mens Talk Club,,Health,North Somerset,3,A,A4,,,,,Y,,,
Weston Hospice,,Health,Local,3,A,A4,Y,,,,,Y,,