Followers,Category,Followers 24,Followers 25,RENS FB,TOP FB
Weston-super-Mare Chamber of Commerce,Business,925,926,RENS FB,
RENS - Race Equality North Somerset,Campaigning,208,373,,TOP FB
Weston super Mare Friends of Palestine,Campaigning,183,494,RENS FB,TOP FB
Humans of Weston-super-Mare,Community,3600,3500,,TOP FB
Big Worle,Community,2500,2500,,TOP FB
Faces Cafe and Events,Community,1600,1500,,TOP FB
The Other Place,Community,437,568,RENS FB,
The Library Of Things Weston,Community,328,342,,TOP FB
Kite Project,Community,328,328,,TOP FB
Sophie's SUPER Litter Picking,Community,284,338,RENS FB,TOP FB
FYI community,Community,187,205,RENS FB,
Community Soup Weston,Community,163,163,,TOP FB
North Somerset Bangladeshi Association,Community,138,250,,TOP FB
Weston and worle Corona Virus Community Support,Community,125,125,RENS FB,
Community Weston,Community,17,18,,TOP FB
Super Culture,Creative,4300,4600,RENS FB,TOP FB
Community Scrapstore North Somerset,Creative,3500,4100,,TOP FB
The Blakehay Theatre,Creative,2700,2900,RENS FB,TOP FB
Theatre Orchard,Creative,2500,2400,,TOP FB
Front Room WSM,Creative,2400,2900,RENS FB,
Artport - Portishead Arts Festival,Creative,915,1100,,TOP FB
C & J’s Little Shop Of Allsorts,Creative,741,744,,TOP FB
Movema Bristol,Creative,572,589,RENS FB,TOP FB
Rustic Visions business,Creative,554,608,,TOP FB
Weston Mela,Creative,455,467,RENS FB,TOP FB
Pixie Dust Resins & Vinyls,Creative,423,425,,TOP FB
CharmCandle-Co,Creative,217,351,,TOP FB
Growing Together - Alliance Homes,Ecology,228,326,,TOP FB
Zero Carbon North Somerset,Ecology,197,230,,TOP FB
SEND and You - SAY,Education,3100,3400,RENS FB,
SENDsenses,Education,353,487,RENS FB,
Castle Batch ParkPlay,Education,279,348,,TOP FB
North Somerset Training Community Interest Company,Education,180,1400,RENS FB,TOP FB
Black History Month - North Somerset,Education,175,182,RENS FB,TOP FB
Lowering the Bar,Education,22,26,,TOP FB
The Mayor of Weston-super-Mare,Elected Representative,3800,3900,RENS FB,TOP FB
The Office of Dan Aldridge,Elected Representative,1900,431,RENS FB,TOP FB
James Clayton - Councillor for WsM South Ward,Elected Representative,1200,1500,RENS FB,TOP FB
Sadik Al-Hassan for North Somerset,Elected Representative,798,1800,RENS FB,
Bridget C Petty,Elected Representative,368,608,RENS FB,TOP FB
Cllr Ciarán Cronnelly,Elected Representative,179,728,RENS FB,TOP FB
Benjamin Hart - Independent Candidate for Weston,Elected Representative,152,801,,TOP FB
Councillor Joe Bambridge,Elected Representative,91,92,RENS FB,TOP FB
Cllr Catherine Gibbons -Labour for Milton,Elected Representative,91,368,RENS FB,TOP FB
Caroline Reynolds,Elected Representative,70,81,RENS FB,TOP FB
The Stable Games Room,Employment,2600,3000,,TOP FB
Renew WSM,Employment,359,342,RENS FB,
the hive,Employment,187,552,,TOP FB
Sprout Café,Food,1000,1000,,TOP FB
Diabetes UK South West and South Central,Health,890,1000,RENS FB,
Healthwatch North Somerset,Health,622,638,RENS FB,TOP FB
Donate For Defib WsM Project,Health,526,1000,RENS FB,
Alliance Homes Group,Housing,2200,2300,RENS FB,
Bristol IWW,Political Organisation,757,3500,RENS FB,
North Somerset Green Party,Political Organisation,108,1000,RENS FB,TOP FB
Stitches Weston,Project,68,68,,TOP FB
Weston-super-Mare Town Council,Public Sector,6100,6700,RENS FB,
North Somerset Libraries,Public Sector,3000,3100,RENS FB,
Better Health North Somerset,Public Sector,2900,3100,,TOP FB
Time out In North Somerset,Public Sector,708,733,RENS FB,
Visit Weston-super-Mare,Public Sector,484,17000,,TOP FB
Proud To Care North Somerset,Public Sector,195,209,RENS FB,TOP FB
Club FreeLove,Social,406,4000,,TOP FB
Bristol Refugee Festival,Support,3400,3400,RENS FB,
North Somerset LGBT+ Forum,Support,2700,2900,RENS FB,TOP FB
Somewhere to Go Day Centre,Support,1100,1500,RENS FB,
Citizens Advice North Somerset,Support,632,744,RENS FB,
JHF Youth Charity,Support,512,1100,RENS FB,
Young Victims,Support,132,143,RENS FB,
The Grace Period Project CIC,Support,101,108,RENS FB,TOP FB
Refugees Welcome North Somerset,Support,28,106,RENS FB,TOP FB
Severnside Community Rail Partnership,Transport,557,610,,TOP FB
,,,,,
Fight for Our Rights,Political Organisation,,85,,TOP FB
Willow’s Natural Way,Health ,,407,,TOP FB
"Blessings in Action, CIC ",Community,,79,,TOP FB
Fiona Gillespie,Education,,1400,,TOP FB
WMCA,Community,,235,,TOP FB
Weston Artspace | Weston-super-Mare,Creative,,2700,,TOP FB
Helen Wheelock,Community,,590,,TOP FB
Md. Anas Akand Abir,Education,,3000,,TOP FB
Jodi Gravener,Public Sector,,780,,TOP FB
Nikki Makaton Tutor,Education,,8400,,TOP FB
Cara MacMahon,Education,,576,,TOP FB
Aishah’s Food Charity | Weston-super-Mare,Support,,353,,TOP FB
North Somerset Parent Carers Working Together Forum,Support,,3500,,TOP FB
Association of Camerados,Support,,3700,,TOP FB
Gwyneth Herbert,Community,,3000,,TOP FB